LibraryElement, DeclaringType, EntityKind, Count, Status
eShopLegacyWebForms.Services.CatalogService..c,eShopLegacyWebForms.Services.CatalogService..c,Type,5,1
eShopLegacyWebForms.Catalog.Delete.Page_Load.productId,eShopLegacyWebForms.Catalog.Delete.Page_Load.productId,Type,1,1
eShopLegacyWebForms.Models.Infrastructure.CatalogDBInitializer.GetSequenceIdFromSelectedDBSequence.context,eShopLegacyWebForms.Models.Infrastructure.CatalogDBInitializer.GetSequenceIdFromSelectedDBSequence.context,Type,1,1
eShopLegacyWebForms.SiteMaster.CheckSession.sessionID,eShopLegacyWebForms.SiteMaster.CheckSession.sessionID,Type,1,1
System.Web.UI.WebControls.DropDownList,System.Web.UI.WebControls.DropDownList,Type,8,1
System.Web.UI.WebControls.DropDownList..ctor,System.Web.UI.WebControls.DropDownList,Method,4,1
System.Web.ModelBinding.ModelStateDictionary.IsValid,System.Web.ModelBinding.ModelStateDictionary,Property,2,0
System.Convert,System.Convert,Type,4,1
eShopLegacyWebForms.ViewModel.CatalogItemsViewModel`1..ctor,eShopLegacyWebForms.ViewModel.CatalogItemsViewModel`1,Method,2,1
System.Convert.ToInt32,System.Convert,Method,8,1
eShopLegacyWebForms.ViewModel.CatalogItemsViewModel`1,eShopLegacyWebForms.ViewModel.CatalogItemsViewModel`1,Type,6,1
eShopLegacyWebForms.ViewModel.CatalogItemsViewModel`1.Data,eShopLegacyWebForms.ViewModel.CatalogItemsViewModel`1,Property,2,1
System.IO.Directory,System.IO.Directory,Type,1,1
System.IO.Directory.GetCurrentDirectory,System.IO.Directory,Method,2,1
eShopLegacyWebForms.BundleConfig.RegisterBundles.bundles,eShopLegacyWebForms.BundleConfig.RegisterBundles.bundles,Type,4,1
System.Web.UI.WebControls.TemplateField..ctor,System.Web.UI.WebControls.TemplateField,Method,2,1
System.Web.UI.WebControls.TemplateField,System.Web.UI.WebControls.TemplateField,Type,6,1
System.Web.UI.WebControls.TemplateField.ItemTemplate,System.Web.UI.WebControls.TemplateField,Property,4,1
System.Web.UI.WebControls.BaseDataBoundControl.DataBind,System.Web.UI.WebControls.BaseDataBoundControl,Method,12,1
System.Web.UI.WebControls.BaseDataBoundControl.DataSource,System.Web.UI.WebControls.BaseDataBoundControl,Property,10,1
System.Collections.Generic.IEnumerable`1,System.Collections.Generic.IEnumerable`1,Type,10,1
eShopLegacyWebForms.Models.Infrastructure.CatalogDBInitializer.GetSequenceIdFromSelectedDBSequence.sequenceId,eShopLegacyWebForms.Models.Infrastructure.CatalogDBInitializer.GetSequenceIdFromSelectedDBSequence.sequenceId,Type,1,1
System.Linq.Enumerable.First,System.Linq.Enumerable,Method,4,1
System.Linq.Enumerable.Max,System.Linq.Enumerable,Method,2,1
System.Linq.Enumerable.FirstOrDefault,System.Linq.Enumerable,Method,2,1
System.Linq.Enumerable.ToList,System.Linq.Enumerable,Method,8,1
System.Linq.Enumerable.OrderBy,System.Linq.Enumerable,Method,2,1
System.Linq.Enumerable.Single,System.Linq.Enumerable,Method,4,1
eShopLegacyWebForms.Home.Model,eShopLegacyWebForms.Home,Property,2,1
eShopLegacyWebForms.Home.___Build__Control14,eShopLegacyWebForms.Home,Method,2,1
eShopLegacyWebForms.Home.___Build__Control13,eShopLegacyWebForms.Home,Method,2,1
eShopLegacyWebForms.Home.___Build__Control12,eShopLegacyWebForms.Home,Method,2,1
eShopLegacyWebForms.Home.___Build__Control11,eShopLegacyWebForms.Home,Method,2,1
eShopLegacyWebForms.Home.___Build__Control10,eShopLegacyWebForms.Home,Method,2,1
eShopLegacyWebForms.Home.___Build__Control9,eShopLegacyWebForms.Home,Method,2,1
eShopLegacyWebForms.Home.___Build__Control8,eShopLegacyWebForms.Home,Method,2,1
eShopLegacyWebForms.Home.___Build__Control7,eShopLegacyWebForms.Home,Method,2,1
eShopLegacyWebForms.Home.___Build__Control6,eShopLegacyWebForms.Home,Method,2,1
eShopLegacyWebForms.Home.___Build__Control5,eShopLegacyWebForms.Home,Method,2,1
eShopLegacyWebForms.Home.___Build__Control2,eShopLegacyWebForms.Home,Method,2,1
eShopLegacyWebForms.Home.___Template__Control15,eShopLegacyWebForms.Home,Method,1,1
eShopLegacyWebForms.Home.___Build__Control18,eShopLegacyWebForms.Home,Method,2,1
eShopLegacyWebForms.Home.___Build__Control17,eShopLegacyWebForms.Home,Method,2,1
eShopLegacyWebForms.Home.___Build__Control16,eShopLegacyWebForms.Home,Method,2,1
eShopLegacyWebForms.Home.___Template__Control3,eShopLegacyWebForms.Home,Method,1,1
eShopLegacyWebForms.Home.___Build__Control4,eShopLegacyWebForms.Home,Method,2,1
eShopLegacyWebForms.Home.InitializeComponent,eShopLegacyWebForms.Home,Method,2,1
eShopLegacyWebForms.Home.productList_PageIndexChanging,eShopLegacyWebForms.Home,Method,1,1
eShopLegacyWebForms.Home.____Initialize_HeaderStyle0,eShopLegacyWebForms.Home,Method,2,1
eShopLegacyWebForms.Home.___Build__GridColumns1,eShopLegacyWebForms.Home,Method,2,1
eShopLegacyWebForms.Home.____Initialize_PagerStyle19,eShopLegacyWebForms.Home,Method,2,1
eShopLegacyWebForms.Home.____Initialize_RowStyle20,eShopLegacyWebForms.Home,Method,2,1
System.Web.UI.HtmlControls.HtmlAnchor.HRef,System.Web.UI.HtmlControls.HtmlAnchor,Property,2,1
System.Web.UI.WebControls.Style.CssClass,System.Web.UI.WebControls.Style,Property,2,1
eShopLegacyWebForms.Home.btnCreateNew,eShopLegacyWebForms.Home,Field,4,1
eShopLegacyWebForms.Home.productList,eShopLegacyWebForms.Home,Field,17,1
eShopLegacyWebForms.Home.CatalogService,eShopLegacyWebForms.Home,Field,3,1
System.Web.UI.HtmlControls.HtmlAnchor,System.Web.UI.HtmlControls.HtmlAnchor,Type,2,1
System.Web.UI.HtmlControls.HtmlAnchor..ctor,System.Web.UI.HtmlControls.HtmlAnchor,Method,1,1
eShopLegacyWebForms.Home.___Build__GridColumns1.lst__cntrl,eShopLegacyWebForms.Home.___Build__GridColumns1.lst__cntrl,Type,11,1
System.Runtime.InteropServices.ComVisibleAttribute..ctor,System.Runtime.InteropServices.ComVisibleAttribute,Method,1,1
System.Web.UI.WebControls.GridViewPageEventHandler,System.Web.UI.WebControls.GridViewPageEventHandler,Type,2,1
System.Runtime.InteropServices.GuidAttribute..ctor,System.Runtime.InteropServices.GuidAttribute,Method,1,1
System.Web.UI.WebControls.RequiredFieldValidator,System.Web.UI.WebControls.RequiredFieldValidator,Type,4,1
System.Web.UI.WebControls.RequiredFieldValidator..ctor,System.Web.UI.WebControls.RequiredFieldValidator,Method,2,1
eShopLegacyWebForms.Home.___Build__Control2.TemplateField,eShopLegacyWebForms.Home.___Build__Control2.TemplateField,Type,3,1
System.Web.Optimization.ScriptBundle..ctor,System.Web.Optimization.ScriptBundle,Method,3,0
System.Web.Optimization.ScriptBundle,System.Web.Optimization.ScriptBundle,Type,3,0
eShopLegacyWebForms.Catalog.Create.txt_Name,eShopLegacyWebForms.Catalog.Create,Field,5,1
eShopLegacyWebForms.Catalog.Create.CatalogService,eShopLegacyWebForms.Catalog.Create,Field,5,1
eShopLegacyWebForms.Catalog.Create.Brand,eShopLegacyWebForms.Catalog.Create,Field,9,1
eShopLegacyWebForms.Catalog.Create.Type,eShopLegacyWebForms.Catalog.Create,Field,9,1
eShopLegacyWebForms.Catalog.Create.NameValidator,eShopLegacyWebForms.Catalog.Create,Field,7,1
eShopLegacyWebForms.Catalog.Create.Description,eShopLegacyWebForms.Catalog.Create,Field,5,1
eShopLegacyWebForms.Catalog.Create.Price,eShopLegacyWebForms.Catalog.Create,Field,5,1
eShopLegacyWebForms.Catalog.Create.PriceValidator,eShopLegacyWebForms.Catalog.Create,Field,10,1
eShopLegacyWebForms.Catalog.Create.Stock,eShopLegacyWebForms.Catalog.Create,Field,5,1
eShopLegacyWebForms.Catalog.Create.StockValidator,eShopLegacyWebForms.Catalog.Create,Field,10,1
eShopLegacyWebForms.Catalog.Create.Restock,eShopLegacyWebForms.Catalog.Create,Field,5,1
eShopLegacyWebForms.Catalog.Create.RestockValidator,eShopLegacyWebForms.Catalog.Create,Field,10,1
eShopLegacyWebForms.Catalog.Create.Maxstock,eShopLegacyWebForms.Catalog.Create,Field,5,1
eShopLegacyWebForms.Catalog.Create.MaxstockValidator,eShopLegacyWebForms.Catalog.Create,Field,10,1
eShopLegacyWebForms.Catalog.Create.btnCreate,eShopLegacyWebForms.Catalog.Create,Field,6,1
System.Web.UI.WebControls.RangeValidator,System.Web.UI.WebControls.RangeValidator,Type,16,1
eShopLegacyWebForms.Home.___Template__Control3.__cntrl,eShopLegacyWebForms.Home.___Template__Control3.__cntrl,Type,1,1
System.Web.UI.WebControls.RangeValidator..ctor,System.Web.UI.WebControls.RangeValidator,Method,8,1
eShopLegacyWebForms.Models.Infrastructure.CatalogDBInitializer.Seed.context,eShopLegacyWebForms.Models.Infrastructure.CatalogDBInitializer.Seed.context,Type,6,1
System.Web.UI.WebControls.RangeValidator.MinimumValue,System.Web.UI.WebControls.RangeValidator,Property,16,1
System.Web.UI.WebControls.RangeValidator.MaximumValue,System.Web.UI.WebControls.RangeValidator,Property,16,1
eShopLegacyWebForms.Models.Infrastructure.CatalogDBInitializer.AddCatalogItems.context,eShopLegacyWebForms.Models.Infrastructure.CatalogDBInitializer.AddCatalogItems.context,Type,3,1
eShopLegacyWebForms.Catalog.Create.InitializeComponent,eShopLegacyWebForms.Catalog.Create,Method,2,1
eShopLegacyWebForms.Catalog.Create.Create_Click,eShopLegacyWebForms.Catalog.Create,Method,1,1
System.Web.UI,System.Web.UI,Type,21,1
System.Data.Entity.EntityState,System.Data.Entity.EntityState,Type,1,1
eShopLegacyWebForms.Home.___Build__Control9.BoundField,eShopLegacyWebForms.Home.___Build__Control9.BoundField,Type,3,1
System.Web.UI.WebControls.Label.Text,System.Web.UI.WebControls.Label,Property,46,1
System.Web.UI.WebControls.Label..ctor,System.Web.UI.WebControls.Label,Method,20,1
System.Web.UI.WebControls.Label,System.Web.UI.WebControls.Label,Type,40,1
System.Data.Entity.EntityState.Modified,System.Data.Entity.EntityState,Field,1,1
System.Web.UI.MasterPage,System.Web.UI.MasterPage,Type,1,1
eShopLegacyWebForms.Models.CatalogBrand..ctor,eShopLegacyWebForms.Models.CatalogBrand,Method,5,1
eShopLegacyWebForms.Models.CatalogBrand,eShopLegacyWebForms.Models.CatalogBrand,Type,12,1
eShopLegacyWebForms.Models.CatalogBrand.Id,eShopLegacyWebForms.Models.CatalogBrand,Property,7,1
eShopLegacyWebForms.Models.CatalogBrand.Brand,eShopLegacyWebForms.Models.CatalogBrand,Property,7,1
System.Reflection.AssemblyProductAttribute..ctor,System.Reflection.AssemblyProductAttribute,Method,1,1
eShopLegacyWebForms.Models.CatalogItemHiLoGenerator.HiLoIncrement,eShopLegacyWebForms.Models.CatalogItemHiLoGenerator,Field,1,1
eShopLegacyWebForms.Models.CatalogItemHiLoGenerator.sequenceLock,eShopLegacyWebForms.Models.CatalogItemHiLoGenerator,Field,1,1
eShopLegacyWebForms.Models.CatalogItemHiLoGenerator.remainningLoIds,eShopLegacyWebForms.Models.CatalogItemHiLoGenerator,Field,3,1
eShopLegacyWebForms.Models.CatalogItemHiLoGenerator.sequenceId,eShopLegacyWebForms.Models.CatalogItemHiLoGenerator,Field,3,1
System.Web.UI.WebControls.ListControl.DataTextField,System.Web.UI.WebControls.ListControl,Property,8,1
System.Web.UI.WebControls.ListControl.DataValueField,System.Web.UI.WebControls.ListControl,Property,8,1
System.Web.UI.WebControls.ListControl.SelectedValue,System.Web.UI.WebControls.ListControl,Property,12,1
eShopLegacyWebForms.Models.CatalogItemHiLoGenerator,eShopLegacyWebForms.Models.CatalogItemHiLoGenerator,Type,2,1
